"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,Date
Pakistan,1528987.0,90.0,30376.0,,1494141.0,,4470.0,104.0,6681.0,133.0,28298660.0,123647.0,228867052.0,Asia,0.4,,20.0,2022-05-12
Norway,1429353.0,289.0,3061.0,,,,,20.0,259879.0,557.0,11002430.0,2000414.0,5500076.0,Europe,53.0,,243149.0,2022-05-12
Kazakhstan,1305620.0,13.0,13661.0,,1291388.0,12.0,571.0,24.0,68021.0,712.0,11575012.0,603042.0,19194373.0,Asia,0.7,,30.0,2022-05-12
Singapore,1232559.0,3645.0,1361.0,3.0,1158385.0,2415.0,72813.0,7.0,207645.0,229.0,23767171.0,4003965.0,5935909.0,Asia,614.0,0.5,12267.0,2022-05-12
Hong Kong,1207665.0,294.0,9356.0,1.0,,,,5.0,158693.0,1229.0,44972952.0,5909645.0,7610094.0,Asia,39.0,0.1,155724.0,2022-05-12
Morocco,1165552.0,97.0,16071.0,,1148964.0,36.0,517.0,293.0,30897.0,426.0,11237010.0,297873.0,37724142.0,Africa,3.0,,14.0,2022-05-12
Bulgaria,1161038.0,332.0,37035.0,16.0,1006669.0,7024.0,117334.0,62.0,169465.0,5406.0,9915433.0,1447255.0,6851202.0,Europe,48.0,2.0,17126.0,2022-05-12
Croatia,1129836.0,637.0,15912.0,7.0,1109143.0,607.0,4781.0,17.0,278408.0,3921.0,4828304.0,1189765.0,4058199.0,Europe,157.0,2.0,1178.0,2022-05-12
Cuba,1104316.0,110.0,8529.0,,1095271.0,117.0,516.0,23.0,97608.0,754.0,12920253.0,1141995.0,11313760.0,North America,10.0,,46.0,2022-05-12
Lebanon,1097800.0,80.0,10404.0,1.0,1084400.0,,2996.0,186.0,162190.0,1537.0,4795578.0,708502.0,6768615.0,Asia,12.0,0.1,443.0,2022-05-12
Finland,1069740.0,16973.0,4284.0,134.0,,,,21.0,192513.0,771.0,10832080.0,1949364.0,5556726.0,Europe,3054.0,24.0,183463.0,2022-05-12
Lithuania,1060279.0,207.0,9127.0,2.0,1031589.0,654.0,19563.0,12.0,399850.0,3442.0,9953263.0,3753553.0,2651691.0,Europe,78.0,0.8,7378.0,2022-05-12
Tunisia,1041197.0,,28575.0,,,,,29.0,86416.0,2372.0,4592916.0,381199.0,12048599.0,Africa,,,-1173.08,2022-05-12
New Zealand,1023205.0,9484.0,863.0,8.0,969079.0,8695.0,53263.0,,204555.0,173.0,7119836.0,1423369.0,5002100.0,Australia/Oceania,1896.0,2.0,10648.0,2022-05-12
Slovenia,1018323.0,629.0,6617.0,1.0,1001323.0,318.0,10383.0,15.0,489703.0,3182.0,2655354.0,1276938.0,2079469.0,Europe,302.0,0.5,4993.0,2022-05-12
Belarus,982867.0,,6978.0,,,,,,104078.0,739.0,13220483.0,1399949.0,9443543.0,Europe,,,5014.0,2022-05-12
Nepal,978982.0,4.0,11952.0,,966857.0,18.0,173.0,,32512.0,397.0,5664774.0,188128.0,30111215.0,Asia,0.1,,6.0,2022-05-12
Bolivia,905820.0,165.0,21926.0,,863013.0,328.0,20881.0,220.0,75680.0,1832.0,2705422.0,226034.0,11969119.0,South America,14.0,,1745.0,2022-05-12
Uruguay,902540.0,,7213.0,,892434.0,,2893.0,18.0,258155.0,2063.0,6114822.0,1749032.0,3496118.0,South America,,,827.0,2022-05-12
UAE,901440.0,364.0,2302.0,,885287.0,252.0,13851.0,,89140.0,228.0,158453134.0,15668845.0,10112624.0,Asia,36.0,,1370.0,2022-05-12
Ecuador,871999.0,380.0,35606.0,1.0,,,,759.0,48067.0,1963.0,2470170.0,136163.0,18141230.0,South America,21.0,0.06,21637.0,2022-05-12
Costa Rica,866164.0,,8444.0,,841683.0,,16037.0,48.0,167193.0,1630.0,4401922.0,849689.0,5180626.0,North America,,,3096.0,2022-05-12
Guatemala,851215.0,502.0,17772.0,30.0,831162.0,414.0,2281.0,5.0,45933.0,959.0,4534174.0,244670.0,18531763.0,North America,27.0,2.0,123.0,2022-05-12
Latvia,825470.0,198.0,5796.0,2.0,815843.0,519.0,3831.0,9.0,446820.0,3137.0,7214910.0,3905368.0,1847434.0,Europe,107.0,1.0,2074.0,2022-05-12
Panama,799975.0,3514.0,8199.0,,770363.0,745.0,21413.0,16.0,180131.0,1846.0,5991973.0,1349219.0,4441067.0,North America,791.0,,4822.0,2022-05-12
Azerbaijan,792638.0,,9709.0,,782869.0,,60.0,,76887.0,942.0,6838458.0,663340.0,10309133.0,Asia,,,6.0,2022-05-12
Saudi Arabia,757802.0,611.0,9110.0,2.0,743099.0,172.0,5593.0,56.0,21155.0,254.0,42072272.0,1174480.0,35822040.0,Asia,17.0,0.06,156.0,2022-05-12
Sri Lanka,663632.0,18.0,16510.0,,646154.0,3.0,968.0,,30752.0,765.0,6486117.0,300558.0,21580218.0,Asia,0.8,,45.0,2022-05-12
Paraguay,649718.0,,18872.0,,624673.0,,6173.0,2.0,89058.0,2587.0,2633737.0,361010.0,7295466.0,South America,,,846.0,2022-05-12
Kuwait,632074.0,,2555.0,,629114.0,,405.0,3.0,144046.0,582.0,8071763.0,1839503.0,4388014.0,Asia,,,92.0,2022-05-12
Myanmar,613088.0,6.0,19434.0,,592012.0,11.0,1642.0,,11129.0,353.0,8058361.0,146281.0,55088138.0,Asia,0.1,,30.0,2022-05-12
Palestine,582119.0,,5353.0,,576684.0,,82.0,17.0,109382.0,1006.0,3078533.0,578467.0,5321878.0,Asia,,,15.0,2022-05-12
Dominican Republic,580201.0,181.0,4376.0,,575302.0,127.0,523.0,1.0,52506.0,396.0,3300974.0,298725.0,11050213.0,North America,16.0,,47.0,2022-05-12
Bahrain,575762.0,633.0,1479.0,,568696.0,555.0,5587.0,3.0,317838.0,816.0,9772208.0,5394551.0,1811496.0,Asia,349.0,,3084.0,2022-05-12
Estonia,573922.0,,2556.0,,514836.0,,56530.0,3.0,432107.0,1924.0,3345340.0,2518713.0,1328194.0,Europe,,,42562.0,2022-05-12
Taiwan,570859.0,65435.0,968.0,17.0,46143.0,6889.0,523748.0,,23888.0,41.0,15820952.0,662049.0,23896938.0,Asia,2738.0,0.7,21917.0,2022-05-12
Venezuela,522890.0,50.0,5710.0,,516098.0,33.0,1082.0,230.0,18486.0,202.0,3359014.0,118751.0,28286128.0,South America,2.0,,38.0,2022-05-12
Moldova,516986.0,,11489.0,,504142.0,,1355.0,49.0,128715.0,2860.0,3216305.0,800767.0,4016530.0,Europe,,,337.0,2022-05-12
Egypt,515645.0,,24613.0,,442182.0,,48850.0,122.0,4868.0,232.0,3693367.0,34868.0,105923104.0,Africa,,,461.0,2022-05-12
Libya,501904.0,,6430.0,,490973.0,,4501.0,101.0,71242.0,913.0,2477219.0,351626.0,7045045.0,Africa,,,639.0,2022-05-12
Cyprus,477711.0,,1032.0,,124370.0,,352309.0,60.0,390381.0,843.0,9477138.0,7744633.0,1223704.0,Asia,,,287904.0,2022-05-12
Ethiopia,470851.0,18.0,7510.0,,455752.0,6.0,7589.0,4.0,3915.0,62.0,4827546.0,40143.0,120257307.0,Africa,0.1,,63.0,2022-05-12
Mongolia,469885.0,,2179.0,,313256.0,,154450.0,192.0,139165.0,645.0,4030048.0,1193573.0,3376456.0,Asia,,,45743.0,2022-05-12
Honduras,424390.0,14.0,10896.0,,132358.0,,281136.0,105.0,41617.0,1068.0,1365056.0,133861.0,10197528.0,North America,1.0,,27569.0,2022-05-12
Armenia,422896.0,,8623.0,,412048.0,,2225.0,,142220.0,2900.0,3068217.0,1031839.0,2973543.0,Asia,,,748.0,2022-05-12
Réunion,405980.0,,762.0,,395430.0,,9788.0,10.0,447512.0,840.0,1603660.0,1767715.0,907194.0,Africa,,,10789.0,2022-05-12
Oman,389370.0,26.0,4259.0,,384543.0,18.0,568.0,3.0,72806.0,796.0,25000000.0,4674598.0,5348054.0,Asia,5.0,,106.0,2022-05-12
Bosnia and Herzegovina,377475.0,43.0,15775.0,,,,,,116401.0,4865.0,1766618.0,544769.0,3242878.0,Europe,13.0,,52263.0,2022-05-12
Qatar,365815.0,158.0,677.0,,364125.0,66.0,1013.0,2.0,130285.0,241.0,3477744.0,1238599.0,2807805.0,Asia,56.0,,361.0,2022-05-12
Kenya,323952.0,13.0,5649.0,,318116.0,6.0,187.0,2.0,5788.0,101.0,3625373.0,64770.0,55973309.0,Africa,0.2,,3.0,2022-05-12
Zambia,320412.0,109.0,3983.0,,315819.0,27.0,610.0,1.0,16566.0,206.0,3448437.0,178297.0,19340969.0,Africa,6.0,,32.0,2022-05-12
North Macedonia,310595.0,89.0,9287.0,,300674.0,57.0,634.0,,149094.0,4458.0,2033385.0,976080.0,2083215.0,Europe,43.0,,304.0,2022-05-12
Botswana,306324.0,,2690.0,,303026.0,,608.0,1.0,125547.0,1103.0,2026898.0,830728.0,2439907.0,Africa,,,249.0,2022-05-12
Albania,275485.0,45.0,3497.0,,271781.0,24.0,207.0,2.0,95922.0,1218.0,1815813.0,632257.0,2871954.0,Europe,16.0,,72.0,2022-05-12
Algeria,265808.0,2.0,6875.0,,178371.0,3.0,80562.0,6.0,5865.0,152.0,230861.0,5094.0,45323351.0,Africa,0.04,,1777.0,2022-05-12
Nigeria,255836.0,34.0,3143.0,,249936.0,,2757.0,11.0,1186.0,15.0,5114703.0,23719.0,215637422.0,Africa,0.2,,13.0,2022-05-12
Zimbabwe,248943.0,165.0,5481.0,,242304.0,46.0,1158.0,12.0,16308.0,359.0,2283475.0,149586.0,15265257.0,Africa,11.0,,76.0,2022-05-12
Luxembourg,243569.0,869.0,1073.0,2.0,235372.0,824.0,7124.0,,377676.0,1664.0,4246211.0,6584141.0,644915.0,Europe,1347.0,3.0,11046.0,2022-05-12
Uzbekistan,238767.0,20.0,1637.0,,236886.0,24.0,244.0,23.0,6947.0,48.0,1377915.0,40089.0,34371189.0,Asia,0.6,,7.0,2022-05-12
Montenegro,236076.0,70.0,2718.0,,232710.0,65.0,648.0,6.0,375789.0,4327.0,2463418.0,3921304.0,628214.0,Europe,111.0,,1031.0,2022-05-12
Mozambique,225470.0,19.0,2201.0,,223188.0,2.0,81.0,13.0,6857.0,67.0,1318662.0,40101.0,32883124.0,Africa,0.6,,2.0,2022-05-12
Laos,209243.0,94.0,752.0,,,,,,28004.0,101.0,1232128.0,164902.0,7471881.0,Asia,13.0,,26878.0,2022-05-12
Kyrgyzstan,200993.0,,2991.0,,196406.0,,1596.0,131.0,29890.0,445.0,1907195.0,283625.0,6724343.0,Asia,,,237.0,2022-05-12
Iceland,186179.0,,120.0,,,,,,539084.0,347.0,2264004.0,6555452.0,345362.0,Europe,,,319589.0,2022-05-12
Maldives,179483.0,,298.0,,163687.0,,15498.0,25.0,321512.0,534.0,2213831.0,3965691.0,558246.0,Asia,,,27762.0,2022-05-12
Afghanistan,179184.0,47.0,7686.0,,162132.0,55.0,9366.0,1124.0,4418.0,190.0,949547.0,23412.0,40558235.0,Asia,1.0,,231.0,2022-05-12
Uganda,164069.0,,3596.0,,100205.0,,60268.0,2.0,3388.0,74.0,2612795.0,53955.0,48425857.0,Africa,,,1245.0,2022-05-12
El Salvador,162089.0,,4129.0,,150662.0,,7298.0,8.0,24757.0,631.0,1950448.0,297912.0,6547069.0,North America,,,1115.0,2022-05-12
Ghana,161280.0,9.0,1445.0,,159788.0,14.0,47.0,1.0,4996.0,45.0,2442206.0,75660.0,32278842.0,Africa,0.3,,1.0,2022-05-12
Namibia,159503.0,,4028.0,,153662.0,,1813.0,,60729.0,1534.0,1015142.0,386505.0,2626464.0,Africa,,,690.0,2022-05-12
Trinidad and Tobago,153471.0,507.0,3866.0,3.0,140228.0,,9377.0,18.0,109006.0,2746.0,722629.0,513261.0,1407916.0,North America,360.0,2.0,6660.0,2022-05-12
Martinique,153253.0,,926.0,,104.0,,152223.0,8.0,408976.0,2471.0,828928.0,2212103.0,374724.0,North America,,,406227.0,2022-05-12
Brunei,143866.0,250.0,219.0,,142172.0,111.0,1475.0,,323099.0,492.0,717784.0,1612023.0,445269.0,Asia,561.0,,3313.0,2022-05-12
Guadeloupe,140130.0,,854.0,,2250.0,,137026.0,19.0,350105.0,2134.0,938039.0,2343627.0,400251.0,North America,,,342350.0,2022-05-12
Cambodia,136262.0,,3056.0,,133186.0,2.0,20.0,,7946.0,178.0,2959358.0,172565.0,17149235.0,Asia,,,1.0,2022-05-12
Jamaica,131704.0,160.0,2991.0,4.0,84818.0,109.0,43895.0,,44119.0,1002.0,1028701.0,344600.0,2985203.0,North America,54.0,1.0,14704.0,2022-05-12
Rwanda,129886.0,12.0,1459.0,,45522.0,,82905.0,,9586.0,108.0,5328850.0,393300.0,13549076.0,Africa,0.9,,6119.0,2022-05-12
Cameroon,119780.0,,1927.0,,117791.0,,62.0,13.0,4313.0,69.0,1751774.0,63072.0,27774242.0,Africa,,,2.0,2022-05-12
Angola,99194.0,,1900.0,,97149.0,,145.0,,2853.0,55.0,1499795.0,43139.0,34766471.0,Africa,,,4.0,2022-05-12
Malta,93249.0,100.0,713.0,,89625.0,161.0,2911.0,4.0,210148.0,1607.0,1901338.0,4284898.0,443730.0,Europe,225.0,,6560.0,2022-05-12
DRC,87023.0,,1337.0,,50930.0,,34756.0,,920.0,14.0,846704.0,8948.0,94622264.0,Africa,,,367.0,2022-05-12
Senegal,86029.0,6.0,1966.0,,84046.0,2.0,17.0,,4898.0,112.0,1078391.0,61397.0,17564139.0,Africa,0.3,,1.0,2022-05-12
Malawi,85855.0,13.0,2635.0,,82462.0,207.0,758.0,67.0,4282.0,131.0,577765.0,28818.0,20048856.0,Africa,0.6,,38.0,2022-05-12
Ivory Coast,81985.0,8.0,799.0,,81167.0,3.0,19.0,,2971.0,29.0,1509146.0,54694.0,27592557.0,Africa,0.3,,0.7,2022-05-12
French Guiana,81784.0,925.0,397.0,2.0,11254.0,,70133.0,1.0,261230.0,1268.0,631628.0,2017510.0,313073.0,South America,2955.0,6.0,224015.0,2022-05-12
Suriname,80008.0,,1337.0,,49455.0,,29216.0,,134150.0,2242.0,236268.0,396152.0,596407.0,South America,,,48987.0,2022-05-12
Barbados,75438.0,471.0,432.0,2.0,71201.0,947.0,3805.0,,261911.0,1500.0,666454.0,2313843.0,288029.0,North America,1635.0,7.0,13210.0,2022-05-12
Channel Islands,75275.0,200.0,173.0,,74574.0,296.0,528.0,,425660.0,978.0,1252808.0,7084295.0,176843.0,Europe,1131.0,,2986.0,2022-05-12
French Polynesia,72786.0,,648.0,,,,,7.0,256354.0,2282.0,,,283928.0,Australia/Oceania,,,136084.0,2022-05-12
Eswatini,71583.0,103.0,1402.0,,69394.0,21.0,787.0,11.0,60535.0,1186.0,1020644.0,863122.0,1182503.0,Africa,87.0,,666.0,2022-05-12
Fiji,64764.0,10.0,862.0,,62875.0,22.0,1027.0,,71285.0,949.0,508406.0,559594.0,908526.0,Australia/Oceania,11.0,,1130.0,2022-05-12
Madagascar,64236.0,,1393.0,,59370.0,,3473.0,14.0,2214.0,48.0,430995.0,14855.0,29014340.0,Africa,,,120.0,2022-05-12
Guyana,63736.0,52.0,1228.0,,62260.0,9.0,248.0,,80311.0,1547.0,608164.0,766326.0,793610.0,South America,66.0,,312.0,2022-05-12
Sudan,62161.0,,4936.0,,,,,,1359.0,108.0,562941.0,12304.0,45752574.0,Africa,,,369.0,2022-05-12
New Caledonia,60749.0,,312.0,,60231.0,,206.0,9.0,209045.0,1074.0,98964.0,340548.0,290602.0,Australia/Oceania,,,709.0,2022-05-12
Bhutan,59552.0,12.0,21.0,,59397.0,64.0,134.0,2.0,75630.0,27.0,2303482.0,2925398.0,787408.0,Asia,15.0,,170.0,2022-05-12
Mauritania,58805.0,18.0,982.0,,57706.0,,117.0,,12058.0,201.0,813713.0,166852.0,4876845.0,Africa,4.0,,24.0,2022-05-12
Belize,57836.0,49.0,676.0,,56750.0,6.0,410.0,6.0,140703.0,1645.0,548290.0,1333880.0,411049.0,North America,119.0,,997.0,2022-05-12
Cabo Verde,56099.0,6.0,401.0,,55604.0,9.0,94.0,23.0,98902.0,707.0,400982.0,706929.0,567217.0,Africa,11.0,,166.0,2022-05-12
Syria,55867.0,2.0,3150.0,,52395.0,19.0,322.0,,3054.0,172.0,146269.0,7997.0,18290978.0,Asia,0.1,,18.0,2022-05-12
Gabon,47608.0,,304.0,,47297.0,,7.0,,20491.0,131.0,1594523.0,686298.0,2323367.0,Africa,,,3.0,2022-05-12
